"Name","Symbol","Circulating Supply","Dollar Volume"
"Primecoin","XPM","21611946.0603","167368.0"
"Sharechain","SSS","1633760178.32","6642540.0"
"Bela","BELA","38914675.0","199189.0"
"Creditbit","CRB","16504873.7173","190772.0"
"2GIVE","2GIVE","518390102.238","147514.0"
"Breakout Stake","BRX","6268082.49403","114623.0"
"Bismuth","BIS","6008551.64041","56199.5"
"Pirl","PIRL","5139708.0","199032.0"
"ExclusiveCoin","EXCL","4362204.0","364980.0"
"AsiaCoin","AC","1170431612.87","1099.78"
"EuropeCoin","ERC","9958071.76546","72852.5"
"YashCoin","YASH","10000272.4881","547.891"
"TheGCCcoin","GCC","498263438.169","2938.27"
"Project Decorum","PDC","50000000.0","263489.0"
"Flixxo","FLIXX","68986644.9752","110535.0"
"Phore","PHR","9717767.16805","101506.0"
"Karbowanec","KRB","4898839.0472","110957.0"
"TrueFlip","TFL","6247267.0","8696.55"
"HelloGold","HGT","263034654.051","16982.8"
"GoByte","GBX","195941.365564","272316.0"
"Breakout","BRK","18142082.9233","73259.0"
"LUXCoin","LUX","551338.506666","820605.0"
"vSlice","VSL","33390496.0334","19914.0"
"Rupee","RUP","22421950.0","53834.8"
"Propy","PRO","14057212.0","64739.3"
"Social","SCL","16714019.6643","11748.3"
"MyBit Token","MYB","2616333.56933","9236.99"
"CannabisCoin","CANN","77231175.5326","704994.0"
"Ixcoin","IXC","20999087.999","826.534"
"Blitzcash","BLITZ","4110253.12431","54671.3"
"MarteXcoin","MXT","2816444.56481","6396.12"
"Centurion","CNT","73877868.578","9067.89"
"BlueCoin","BLU","574683675.01","9133.64"
"Atmos","ATMS","100316889.889","19072.9"
"Dimecoin","DIME","5.38862496976e+11","11733.8"
"ParkByte","PKB","4764026.33477","353870.0"
"Bitcoin Red","BTCRED","14397076.499","359699.0"
"eBitcoin","EBTC","18897126.0","40773.6"
"Opus","OPT","140080548.898","9099.11"
"Oceanlab","OCL","46500000.0","72247.4"
"Dovu","DOVU","33373523.4858","20147.8"
"HunterCoin","HUC","20397370.0","204026.0"
"Startcoin","START","45079785.0","3022280.0"
"Darcrus","DAR","13600388.07","64672.1"
"Indorse Token","IND","46508191.6651","212980.0"
"Aeron","ARN","11803430.7063","3263880.0"
"GeoCoin","GEO","3330710.0","119154.0"
"Hush","HUSH","2242500.0","75890.2"
"e-Gulden","EFL","15969926.0","79771.8"
"Autonio","NIO","65828135.0","52627.4"
"SHIELD","XSH","467091485.974","49215.7"
"LIFE","LIFE","6549339578.21","4095.69"
"Dotcoin","DOT","269784750.0","144612.0"
"Zephyr","ZEPH","125990535.381","18346.9"
"CryptoPing","PING","9952089.0","19674.6"
"Creativecoin","CREA","12893941.426","8478.13"
"XP","XP","1.76052688121e+11","17355.0"
"REAL","REAL","10055817.0","6756.04"
"SpreadCoin","SPR","9218692.44012","580490.0"
"GoldBlocks","GB","15255914.1231","91453.8"
"Quark","QRK","253126154.808","4781.34"
"ZClassic","ZCL","1809800.0","271468.0"
"ATLANT","ATL","13225026.3122","13706.1"
"Kolion","KLN","600000.0","998833.0"
"Magi","XMG","7640033.87681","290515.0"
"Hedge","HDG","3709674.34","25128.0"
"Adelphoi","ADL","23472224.0","12290.7"
"Tracto","TRCT","4464935.54464","14614.9"
"VeriumReserve","VRM","1399561.66269","239496.0"
"AdShares","ADST","12044566.0","6378.34"
"Mercury Protocol","GMT","168809624.822","10421.8"
"Tokes","TKS","1133007.0","145410.0"
"FLiK","FLIK","60123682.1681","15666.2"
"Zennies","ZENI","1000812835.55","13506.0"
"HyperStake","HYP","1073012499.22","17897.0"
"BuzzCoin","BUZZ","5173400513.68","134033.0"
"Internxt","INXT","629609.543","28145.4"
"LuckChain","BASH","715868298.826","4063.06"
"Innova","INN","920849.409848","114062.0"
"ProCurrency","PROC","95994513.69","13254.9"
"Smart Investm...","SIFT","722935.0","2805.61"
"Altcoin","ALT","122175.268484","5694.0"
"Espers","ESP","20808583384.3","3343.39"
"Janus","JNS","23020334.6945","1233.24"
"Yocoin","YOC","108986900.009","28345.4"
"Publica","PBL","18582932.5","38700.5"
"Starta","STA",,"12346.1"
"Paccoin","PAC","3.21728439448e+12","6165.7"
"VIVO","VIVO","808427.65977","109434.0"
"Crave","CRAVE","1450413.0","11197.4"
"DNotes","NOTE","129695040.122","12892.7"
"AudioCoin","ADC","836224337.761","5817.36"
"Universal Cur...","UNIT","12134791.4886","14182.1"
